,batter,batsman_run
0,V Kohli,6634
1,S Dhawan,6244
2,DA Warner,5883
3,RG Sharma,5881
4,SK Raina,5536
5,AB de Villiers,5181
6,CH Gayle,4997
7,MS Dhoni,4978
8,RV Uthappa,4954
9,KD Karthik,4377
10,G Gambhir,4217
11,AT Rayudu,4190
12,AM Rahane,4074
13,KL Rahul,3895
14,SR Watson,3880
15,MK Pandey,3657
16,SV Samson,3526
17,KA Pollard,3437
18,F du Plessis,3403
19,YK Pathan,3222
20,BB McCullum,2882
21,RR Pant,2851
22,PA Patel,2848
23,JC Buttler,2832
24,SS Iyer,2780
25,Q de Kock,2767
26,Yuvraj Singh,2754
27,V Sehwag,2728
28,SA Yadav,2644
29,M Vijay,2619
30,RA Jadeja,2502
31,SPD Smith,2495
32,SE Marsh,2489
33,DA Miller,2455
34,WP Saha,2427
35,JH Kallis,2427
36,DR Smith,2385
37,MA Agarwal,2335
38,SR Tendulkar,2334
39,GJ Maxwell,2320
40,N Rana,2181
41,R Dravid,2174
42,KS Williamson,2105
43,AJ Finch,2092
44,AC Gilchrist,2069
45,AD Russell,2039
46,JP Duminy,2029
47,MEK Hussey,1977
48,HH Pandya,1972
49,Shubman Gill,1900
50,Ishan Kishan,1870
51,DPMD Jayawardene,1808
52,RA Tripathi,1798
53,MK Tiwary,1695
54,Mandeep Singh,1692
55,KC Sangakkara,1687
56,PP Shaw,1588
57,DJ Bravo,1560
58,NV Ojha,1554
59,KK Nair,1496
60,SS Tiwary,1494
61,S Badrinath,1441
62,EJG Morgan,1406
63,BJ Hodge,1400
64,SC Ganguly,1349
65,CA Lynn,1329
66,KH Pandya,1326
67,DJ Hussey,1322
68,JM Bairstow,1291
69,D Padikkal,1260
70,DJ Hooda,1237
71,RD Gaikwad,1207
72,KM Jadhav,1196
73,TM Dilshan,1153
74,IK Pathan,1150
75,AR Patel,1135
76,ML Hayden,1107
77,LMP Simmons,1079
78,M Vohra,1073
79,MP Stoinis,1070
80,SP Narine,1025
81,LRPL Taylor,1017
82,KP Pietersen,1001
83,MC Henriques,1000
84,Y Venugopal Rao,985
85,JA Morkel,975
86,A Symonds,974
87,CL White,971
88,BA Stokes,920
89,N Pooran,912
90,MM Ali,910
91,HH Gibbs,886
92,STR Binny,880
93,Harbhajan Singh,833
94,SO Hetmyer,831
95,MS Bisla,798
96,Shakib Al Hasan,795
97,ST Jayasuriya,768
98,GC Smith,739
99,R Tewatia,738
100,V Shankar,731
101,AD Mathews,724
102,S Dube,688
103,TL Suman,676
104,AM Nayar,672
105,Abhishek Sharma,667
106,GJ Bailey,663
107,E Lewis,654
108,R Ashwin,647
109,CH Morris,618
110,JD Ryder,604
111,PP Chawla,584
112,HM Amla,577
