,Order Id,Company Id,Company Name,Date,Order Value,Converted
0,80EYLOKP9E762WKG,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,18-02-2017,4875,1
1,TLEXR1HZWTUTBHPB,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,30-07-2015,8425,0
2,839FKFW2LLX4LMBB,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,27-05-2016,4837,0
3,97OX39BGVMHODLJM,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,27-09-2018,343,0
4,5T4LGH4XGBWOD49Z,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,14-01-2016,983,0
5,041ORQM5OIHTIU6L,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,24-08-2014,4185,0
6,8QUW0UXQ3XHIL56W,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,09-06-2018,3186,0
7,6CE8ZDK832NZWJX5,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,01-03-2018,7634,0
8,DSG1EKQVYZD63WCS,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,04-01-2015,2900,0
9,YT796QI18WNGZ7ZJ,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,12-04-2014,5839,0
10,6YLROQT27B6HRF4E,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,28-07-2015,8841,0
11,WYDFDKHADZPNGLEY,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,06-03-2016,7044,0
12,5R53QASREK911LJV,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,26-08-2018,5173,0
13,0X57BF04C3X3OHHB,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,21-11-2015,1104,0
14,AT0R4DFYYAFOC88Q,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,21-07-2014,1883,0
15,KJ5BSZH04HH05GD6,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,02-06-2017,5176,1
16,YCC4FERSSE7IA31M,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,26-06-2018,4418,0
17,5WS2WEUKWONW9FFS,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,07-05-2018,376,0
18,CI0ML2FIU25S84QX,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,03-07-2016,8070,0
19,C0E1XGLTSP9563UZ,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,25-06-2014,409,0
20,2DDN2LHS7G85GKPQ,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,29-04-2014,202,0
21,DP79KUFXD9OF3SMI,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,28-01-2017,8457,0
22,FM608JK1N01BPUQN,36MFTZOYMTAJP1RK,Tangential Sheds,08-05-2014,3762,1
23,CK331XXNIBQT81QL,36MFTZOYMTAJP1RK,Tangential Sheds,23-05-2015,7746,0
24,FESGKOQN2OZZWXY3,36MFTZOYMTAJP1RK,Tangential Sheds,10-01-2016,6011,1
25,YITOTLOF0MWZ0VYX,36MFTZOYMTAJP1RK,Tangential Sheds,03-10-2016,3462,1
26,7J1KCHZUP4EVKIYH,36MFTZOYMTAJP1RK,Tangential Sheds,09-03-2018,7292,0
27,8RIGCF74GUEQHQEE,36MFTZOYMTAJP1RK,Tangential Sheds,23-07-2018,3438,0
