item_id,order_id,product_id,quantity,unit_price
1,1,45,1,891.52
2,2,8,3,51160.61
3,2,36,3,508.27
4,2,17,1,4409.52
5,2,31,3,335.07
6,3,40,1,594.14
7,3,39,1,249.29
8,3,45,3,864.63
9,4,7,2,44612.8
10,5,17,1,4435.08
11,5,34,2,1958.09
12,6,36,2,519.48
13,7,22,1,207.1
14,7,16,3,1829.41
15,7,1,1,13583.23
16,7,43,3,765.05
17,8,17,3,4378.05
18,9,17,1,4639.9
19,9,30,1,154.25
20,9,4,2,1544.21
21,10,28,1,474.53
22,10,8,1,53864.77
23,10,7,1,45210.86
24,11,40,2,580.0
25,11,18,2,1583.05
26,11,6,2,29314.52
27,11,24,2,304.68
28,12,27,1,9175.53
29,12,42,1,3143.42
30,12,11,1,2399.97
31,12,8,3,52907.18
32,13,12,3,1237.79
33,13,40,3,621.76
34,13,25,3,522.62
35,13,23,1,398.32
36,14,8,1,51735.57
37,14,27,2,8560.17
38,14,29,3,1302.22
39,14,3,3,16121.63
40,15,43,3,800.85
41,15,22,3,201.35
42,16,43,3,813.09
43,16,16,2,1735.79
44,16,31,3,362.68
45,16,23,3,381.23
46,17,33,2,1554.38
47,17,31,1,357.77
48,18,16,1,1800.25
49,18,22,3,201.85
50,18,18,2,1649.7
51,19,30,2,153.49
52,20,6,1,31440.96
53,20,32,3,811.25
54,20,29,1,1286.46
55,20,21,1,350.99
56,21,6,3,31388.47
57,22,33,3,1524.7
58,22,36,2,492.18
59,22,14,1,6188.92
60,23,22,2,203.31
61,23,36,2,509.77
62,23,40,1,574.89
63,23,39,3,242.07
64,24,23,3,399.88
65,24,41,3,191.17
66,24,19,1,298.77
67,25,7,1,44254.47
68,25,17,2,4371.04
69,25,40,1,611.99
70,25,13,1,3588.98
71,26,41,3,200.77
72,27,30,1,155.91
73,27,43,1,801.43
74,27,38,1,149.79
75,27,33,2,1549.79
76,28,33,1,1533.55
77,28,12,1,1247.5
78,28,45,3,908.04
79,28,38,2,149.06
80,29,27,2,8907.09
81,29,39,2,260.72
82,29,45,2,926.4
83,29,16,1,1783.3
84,30,45,3,920.29
85,30,36,3,505.62
86,30,21,1,338.87
87,31,44,3,506.49
88,31,23,1,399.16
89,31,9,3,19259.05
90,32,23,3,398.22
91,33,44,1,500.13
92,33,35,1,690.67
93,33,19,1,304.09
94,33,28,1,487.37
95,34,19,2,288.43
96,34,44,1,508.51
97,35,14,2,6187.38
98,35,35,1,707.12
99,35,3,3,16382.16
100,36,42,2,2920.3
101,36,36,3,488.4
102,37,25,2,494.84
103,38,36,3,486.59
104,38,4,3,1554.29
105,38,1,2,13427.95
106,39,38,1,153.11
107,39,35,1,684.61
108,39,39,1,261.04
109,40,12,1,1329.54
110,41,25,1,495.43
111,42,9,2,18059.78
112,42,11,2,2551.4
113,42,38,1,142.15
114,43,39,3,257.54
115,43,4,2,1497.58
116,43,41,3,200.0
117,44,46,2,299.76
118,45,34,3,1930.91
119,45,5,3,9032.33
120,46,23,1,414.3
121,47,22,1,207.96
122,47,24,3,299.91
123,47,19,3,308.68
124,48,8,3,52182.85
125,49,42,3,2922.17
126,49,40,1,609.93
127,50,25,3,510.18
128,50,8,1,55179.04
129,50,17,2,4505.44
130,51,32,1,784.64
131,51,3,1,16716.09
132,51,19,1,313.1
133,51,42,3,3008.96
134,52,14,3,6076.7
135,53,44,1,484.31
136,53,28,3,517.89
137,54,42,1,2986.77
138,54,5,2,8583.14
139,54,44,1,476.76
140,54,10,2,20115.16
141,55,17,2,4477.01
142,55,27,2,8938.73
143,56,25,3,479.95
144,57,42,3,3034.49
145,58,45,1,886.21
146,59,19,3,293.06
147,60,19,2,295.45
148,61,31,1,350.17
149,62,26,2,2927.79
150,62,35,1,684.88
151,63,1,1,12403.35
152,63,36,3,503.82
153,63,10,3,20094.05
154,64,20,1,460.15
155,65,14,3,5784.51
156,65,27,1,8747.74
157,65,42,2,2907.33
158,66,43,1,827.08
159,66,37,3,297.84
160,67,19,3,286.06
161,68,13,3,3527.2
162,69,23,3,388.41
163,69,9,2,19226.07
164,69,43,1,784.44
165,70,22,3,200.67
166,70,40,3,603.01
167,70,43,2,835.65
168,70,20,1,426.77
169,71,15,3,1013.07
170,71,46,2,309.17
171,72,44,2,497.15
172,72,22,2,204.47
173,73,36,3,478.14
174,73,7,2,47649.05
175,73,12,1,1349.83
176,73,42,1,2927.99
177,74,5,1,9313.59
178,75,38,3,147.59
179,76,3,2,16068.55
180,76,36,3,497.61
181,77,24,1,310.7
182,77,26,3,2864.28
183,78,9,3,18221.09
184,78,30,2,149.03
185,78,33,3,1459.86
186,79,33,2,1447.92
187,79,9,3,19851.51
188,80,31,1,339.19
189,80,23,2,388.3
190,81,24,3,290.23
191,81,15,2,987.82
192,81,3,2,16609.45
193,82,42,2,2880.01
194,83,17,3,4352.27
195,83,38,3,147.19
196,83,35,3,709.72
197,84,34,2,1974.28
198,85,34,2,2062.42
199,85,26,2,2795.32
200,86,39,2,240.67
201,86,1,1,13017.9
202,86,33,2,1455.76
203,86,9,1,18348.01
204,87,43,1,792.18
205,88,8,2,52887.81
206,88,31,3,337.18
207,88,44,2,475.17
208,89,9,3,19174.45
209,90,41,1,206.78
210,90,33,1,1432.43
211,91,12,3,1359.95
212,91,34,3,1902.77
213,91,26,3,2862.81
214,92,6,3,31477.28
215,92,14,2,5801.37
216,92,29,2,1312.1
217,93,40,3,584.89
218,93,43,3,813.83
219,94,39,2,246.15
220,94,38,1,141.8
221,94,5,3,9322.6
222,94,15,3,1017.42
223,95,39,1,248.4
224,95,7,3,46458.13
225,96,6,2,30477.16
226,97,44,3,495.58
227,98,24,2,290.91
228,98,3,2,16462.26
229,98,45,2,885.56
230,98,34,3,2080.53
231,99,28,1,486.75
232,100,6,3,31129.26
233,100,19,2,291.76
234,101,46,3,307.65
235,102,34,1,1974.02
236,103,45,2,886.62
237,103,21,1,346.42
238,104,17,3,4438.55
239,104,35,2,733.38
240,104,28,2,511.72
241,105,36,3,501.74
242,105,31,2,366.05
243,105,12,3,1278.78
244,105,24,3,295.95
245,106,43,3,777.41
246,106,8,3,55379.95
247,107,14,3,5939.35
248,108,36,3,509.32
249,108,40,1,592.36
250,108,45,3,854.53
251,109,10,2,20850.68
252,110,6,2,28739.16
253,110,5,1,9201.02
254,110,17,2,4550.27
255,110,15,3,977.67
256,111,12,3,1298.27
257,112,13,3,3649.72
258,113,13,3,3504.53
259,113,3,1,16183.29
260,113,39,3,237.45
261,114,42,1,2875.09
262,114,1,2,13362.55
263,115,43,1,800.42
264,115,26,3,2855.99
265,115,38,1,149.74
266,116,23,3,417.48
267,116,18,2,1667.71
268,116,15,3,949.51
269,117,27,1,9051.76
270,117,33,3,1468.16
271,118,33,2,1555.38
272,119,45,3,897.53
273,119,29,1,1332.45
274,119,25,2,508.06
275,120,31,1,340.55
276,121,41,1,204.97
277,121,15,2,1044.5
278,121,44,3,500.78
279,121,45,3,928.86
280,122,19,2,304.19
281,122,6,2,28727.13
282,123,31,2,339.18
283,123,21,3,340.94
284,124,32,1,817.81
285,124,13,2,3396.4
286,125,16,2,1737.11
287,125,40,1,576.23
288,126,44,3,498.63
289,127,35,1,723.33
290,128,40,3,621.09
291,128,21,2,337.93
292,128,32,3,781.44
293,129,37,1,299.77
294,129,9,2,18957.81
295,130,33,2,1483.07
296,131,30,3,149.27
297,131,8,2,54001.8
298,132,44,1,492.98
299,133,21,2,352.94
300,134,12,1,1269.05
301,134,36,3,491.17
302,134,17,1,4498.45
303,135,27,2,8877.58
304,135,45,2,879.19
305,136,37,3,304.56
306,136,9,1,19418.53
307,137,36,2,483.83
308,137,28,3,481.51
309,138,12,2,1298.95
310,139,32,3,827.64
311,139,20,1,444.44
312,139,17,3,4347.54
313,140,17,3,4317.38
314,140,31,3,343.23
315,141,24,2,284.64
316,141,36,1,491.57
317,141,17,3,4707.36
318,142,37,3,300.15
319,142,42,2,2955.55
320,143,29,2,1294.29
321,143,6,1,31103.74
322,143,25,3,514.36
323,143,40,2,594.32
324,144,5,1,8831.15
325,144,6,3,29373.09
326,144,11,2,2525.34
327,144,22,2,194.45
328,145,24,2,289.05
329,145,38,1,143.41
330,145,34,1,2031.39
331,145,29,3,1325.07
332,146,14,1,5937.24
333,147,5,2,9042.59
334,148,26,3,2873.17
335,149,7,2,46542.26
336,150,42,2,2941.83
337,151,19,3,287.83
338,151,29,3,1342.97
339,152,3,3,15769.96
340,153,31,2,350.69
341,153,30,1,156.0
342,153,35,3,701.75
343,154,41,3,201.78
344,154,37,2,311.23
345,154,28,2,500.98
346,154,34,1,1987.38
347,155,27,2,8558.55
348,155,17,3,4640.89
349,155,10,1,19686.79
350,156,35,2,684.99
