Title,Company,Experience,Salary,Location,Rating,Reviews,Posted,Link
Data Analyst - (Immediate Joiners preferred),Capita,1-5 Yrs,Not Disclosed,"Hybrid - Pune, Mumbai (All Areas)",3.5,2694  Reviews,1 week ago,https://www.naukri.com/job-listings-data-analyst-immediate-joiners-preferred-capita-pune-mumbai-all-areas-1-to-5-years-140526016202
Data Analyst,Capgemini,4-9 Yrs,Not Disclosed,"Hybrid - Chennai, Delhi / NCR, Mumbai (All Areas)",3.6,54214  Reviews,3 weeks ago,https://www.naukri.com/job-listings-data-analyst-capgemini-chennai-delhi-ncr-mumbai-all-areas-4-to-9-years-021225014173
Data Analyst,Snapdeal,1-6 Yrs,Not Disclosed,Gurugram,3.5,673  Reviews,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-jasper-infotech-pvt-ltd-gurugram-1-to-6-years-221025507695
Data Analyst,Kiya.ai,3-7 Yrs,5-11 Lacs PA ,"Hybrid - Bengaluru, Mumbai (All Areas)",3.9,644  Reviews,3 days ago,https://www.naukri.com/job-listings-data-analyst-kiya-ai-bengaluru-mumbai-all-areas-3-to-7-years-200326006395
Data Analyst - Tableau/Looker/Salesforce (Remote),Indium Software,2-5 Yrs,12-16 Lacs PA ,Remote,3.9,1372  Reviews,2 weeks ago,https://www.naukri.com/job-listings-data-analyst-tableau-looker-salesforce-remote-indium-software-hyderabad-2-to-5-years-020626009571
Data Analyst,MNC,0-2 Yrs,2.75-5 Lacs PA ,"Pimpri-Chinchwad, Pune",N/A,N/A,1 day ago,https://www.naukri.com/job-listings-data-analyst-tele-infotech-pimpri-chinchwad-pune-0-to-2-years-150626039855
Data Analyst,MNC,0-1 Yrs,2.5-5 Lacs PA ,"Pimpri-Chinchwad, Pune",N/A,N/A,5 days ago,https://www.naukri.com/job-listings-data-analyst-tele-infotech-pimpri-chinchwad-pune-0-to-1-years-100626038034
Data Analyst,MNC,0-2 Yrs,2-5 Lacs PA ,"Pimpri-Chinchwad, Pune",N/A,N/A,1 week ago,https://www.naukri.com/job-listings-data-analyst-tele-infotech-pimpri-chinchwad-pune-0-to-2-years-070626005868
Data Analyst,Codinglimits Nellore,0-1 Yrs,Not Disclosed,"Hyderabad, Chennai, Bengaluru",N/A,N/A,1 day ago,https://www.naukri.com/job-listings-data-analyst-codinglimits-nellore-hyderabad-chennai-bengaluru-0-to-1-years-150626016881
Data Analyst,ti Steps,0-2 Yrs,3-4 Lacs PA ,"Hyderabad, Chennai, Bengaluru",3.9,18  Reviews,1 day ago,https://www.naukri.com/job-listings-data-analyst-ti-steps-hyderabad-chennai-bengaluru-0-to-2-years-300825010580
Walk-in || Data Analyst/AI-ML,Codepanda Academy,N/A,4.5-9.5 Lacs PA ,N/A,4.5,3  Reviews,6 days ago,https://www.naukri.com/job-listings-data-analyst-ai-ml-codepanda-academy-noida-new-delhi-gurugram-1-to-6-years-100626018328
Data Analyst,CGI,4-9 Yrs,8-16 Lacs PA ,Hybrid - Hyderabad,4.0,5499  Reviews,1 day ago,https://www.naukri.com/job-listings-data-analyst-cgi-hyderabad-4-to-9-years-150626029093
Walk-in || Data Analyst,Dunboxed,N/A,5-13 Lacs PA ,N/A,4.0,14  Reviews,1 day ago,https://www.naukri.com/job-listings-data-analyst-dunboxed-hyderabad-2-to-6-years-150626014520
Data Analyst,Vilican Technologies Pvt. Ltd.,0-2 Yrs,2-3 Lacs PA ,Aurangabad(Shendra MIDC),3.5,29  Reviews,Today,https://www.naukri.com/job-listings-data-analyst-vilican-technologies-pvt-ltd-aurangabad-0-to-2-years-160626014633
Data Analyst,Iide Education,1-4 Yrs,2.25-6 Lacs PA ,Mumbai(Lower Parel West),4.0,139  Reviews,Today,https://www.naukri.com/job-listings-data-analyst-iide-education-mumbai-1-to-4-years-160626009517
Data Analyst,Careernet,10-15 Yrs,Not Disclosed,Bengaluru,N/A,N/A,1 day ago,https://www.naukri.com/job-listings-data-analyst-careernet-bengaluru-10-to-15-years-150626016461
Data Analyst,Client of Markmakers,0-3 Yrs,Not Disclosed,Remote,N/A,N/A,Few hours ago,https://www.naukri.com/job-listings-data-analyst-mark-makers-consultancy-services-gurugram-0-to-3-years-160626032383
